DateTime,BasicIncidentType,BasicPropertyUse,CivilianCasualtySeverity,CauseOfInjury,HumanFactorsContributingToInjury,ActivityWhenInjured,AreaOfFireOrigin,CauseOfIgnition,DetectorPresence,FireJurisdictionBoundaries,CivilianCasualtyCount
4/27/21 7:10,111 - Building fire,419 - 1 or 2 family dwelling,Severe,1 - Exposed to fire products,"Asleep, no known impairment",Sleeping,Bedroom - < 5 persons; included are jail or prison,Unintentional,1 - Present,Eugene Springfield Fire,1
5/1/21 10:15,131 - Passenger vehicle fire,"962 - Residential street, road or residential driveway",Severe,1 - Exposed to fire products,Possibly mentally disabled,"Activity, other",Operator/passenger area of transportation equipment,Unintentional,N - Not Reported,Portland Fire & Rescue,1
5/5/21 0:22,131 - Passenger vehicle fire,"960 - Street, other",Fatality,N - Not Reported,Not Reported,Not Reported,Undetermined,Cause undetermined after investigation,N - Not Reported,Rural Metro Fire Department,1
5/9/21 6:59,111 - Building fire,419 - 1 or 2 family dwelling,Fatality,1 - Exposed to fire products,Physically disabled,Not Reported,"Common room, den, family room, living room, lounge",Cause undetermined after investigation,N - None present,Douglas County Fire District #2,1
5/10/21 14:03,"113 - Cooking fire, confined to container",419 - 1 or 2 family dwelling,Minor,N - Not Reported,Not Reported,Not Reported,"Cooking area, kitchen",Unintentional,1 - Present,Gresham Fire Department,1
5/13/21 14:45,1120 - Tent Fire/Undersheltered,"940 - Water area, other",Minor,1 - Exposed to fire products,Possibly mentally disabled,"Activity, other","Outside area, other",Cause undetermined after investigation,N - None present,Portland Fire & Rescue,1
5/14/21 3:58,111 - Building fire,419 - 1 or 2 family dwelling,Fatality,1 - Exposed to fire products,None,Not Reported,"Exterior balcony, unenclosed porch",Unintentional,N - None present,Clackamas Fire District #1,1
5/15/21 3:30,111 - Building fire,429 - Multifamily dwelling,Minor,1 - Exposed to fire products,Not Reported,Not Reported,"Courtyard, patio, terrace",Unintentional,1 - Present,Clackamas Fire District #1,1
5/16/21 18:20,111 - Building fire,419 - 1 or 2 family dwelling,Minor,1 - Exposed to fire products,None,Fire control,"Cooking area, kitchen",Unintentional,1 - Present,Hillsboro Fire & Rescue,1
5/17/21 1:09,131 - Passenger vehicle fire,"962 - Residential street, road or residential driveway",Fatality,U - Undetermined,Not Reported,Not Reported,Operator/passenger area of transportation equipment,Cause under investigation,N - Not Reported,Eugene Springfield Fire,1
5/18/21 7:31,1120 - Tent Fire/Undersheltered,931 - Open land or field,Moderate,1 - Exposed to fire products,"Asleep, no known impairment",Sleeping,Bedroom - < 5 persons; included are jail or prison,Unintentional,N - None present,Portland Fire & Rescue,1
5/21/21 10:05,111 - Building fire,419 - 1 or 2 family dwelling,Fatality,1 - Exposed to fire products,"Asleep, no known impairment",Sleeping,Bedroom - < 5 persons; included are jail or prison,Unintentional,U - Undetermined,Tillamook Fire District,1
5/22/21 6:01,121 - Fire in mobile home used as fixed residence,419 - 1 or 2 family dwelling,Minor,N - Not Reported,Not Reported,Not Reported,Bedroom - < 5 persons; included are jail or prison,Intentional,1 - Present,Tualatin Valley Fire & Rescue,1
5/28/21 20:21,111 - Building fire,429 - Multifamily dwelling,Moderate,1 - Exposed to fire products,Possibly mentally disabled,Fire control,"Cooking area, kitchen",Unintentional,1 - Present,Portland Fire & Rescue,1
5/29/21 8:10,1120 - Tent Fire/Undersheltered,"962 - Residential street, road or residential driveway",Moderate,1 - Exposed to fire products,Possibly mentally disabled,"Activity, other",Bedroom - < 5 persons; included are jail or prison,Cause undetermined after investigation,N - None present,Portland Fire & Rescue,1
6/3/21 6:12,111 - Building fire,419 - 1 or 2 family dwelling,Minor,N - Not Reported,Not Reported,Not Reported,"Laundry area, wash house (laundry)",Intentional,1 - Present,Tualatin Valley Fire & Rescue,1
6/3/21 12:24,"160 - Special outside fire, other",931 - Open land or field,Life threatening,1 - Exposed to fire products,Not Reported,Not Reported,Other area of fire origin,Intentional,N - Not Reported,Eugene Springfield Fire,1
6/3/21 18:54,111 - Building fire,419 - 1 or 2 family dwelling,Moderate,1 - Exposed to fire products,Possibly mentally disabled,Fire control,Bedroom - < 5 persons; included are jail or prison,Unintentional,N - None present,Portland Fire & Rescue,1
6/5/21 2:10,137 - Camper or recreational vehicle (RV) fire,"110 - Fixed-use recreation places, other",Fatality,N - Not Reported,Not Reported,Not Reported,Undetermined,Cause undetermined after investigation,N - Not Reported,No District,1
6/5/21 3:12,111 - Building fire,419 - 1 or 2 family dwelling,Moderate,1 - Exposed to fire products,"Asleep, no known impairment",Sleeping,"Vehicle storage area; garage, carport",Unintentional,N - None present,Portland Fire & Rescue,1
6/5/21 17:32,111 - Building fire,808 - Outbuilding or shed,Minor,1 - Exposed to fire products,None,Returning to vicinity of fire before control of fire,"Maintenance shop or area, paint shop or area",Unintentional,N - None present,Columbia River Fire & Rescue,1
6/6/21 20:53,132 - Road freight or transport vehicle fire,965 - Vehicle parking area,Moderate,1 - Exposed to fire products,Possibly mentally disabled,Rescue attempt,"Engine area, running gear, wheel area",Unintentional,N - Not Reported,Portland Fire & Rescue,1
6/19/21 21:25,111 - Building fire,419 - 1 or 2 family dwelling,Fatality,1 - Exposed to fire products,"Possibly impaired by alcohol,Asleep, no known impairment",Sleeping,Bedroom - < 5 persons; included are jail or prison,Unintentional,1 - Present,Umatilla County Fire District 1,1
6/20/21 9:43,143 - Grass fire,655 - Crops or orchard,Minor,N - Not Reported,Not Reported,Not Reported,"Open area, outside; included are farmland, field",Unintentional,N - Not Reported,Tualatin Valley Fire & Rescue,1
6/20/21 12:52,111 - Building fire,429 - Multifamily dwelling,Moderate,1 - Exposed to fire products,Possibly mentally disabled,Undetermined,Bedroom - < 5 persons; included are jail or prison,Unintentional,1 - Present,Portland Fire & Rescue,1
6/20/21 13:38,111 - Building fire,419 - 1 or 2 family dwelling,Fatality,N - Not Reported,Not Reported,Not Reported,Bedroom - < 5 persons; included are jail or prison,Intentional,1 - Present,Harbor RFPD,1
6/20/21 14:38,111 - Building fire,429 - Multifamily dwelling,Moderate,1 - Exposed to fire products,None,Fire control,"Outside area, other",Unintentional,1 - Present,Hillsboro Fire & Rescue,1
6/21/21 15:51,131 - Passenger vehicle fire,965 - Vehicle parking area,Moderate,N - Not Reported,Not Reported,Not Reported,Other area of fire origin,Cause undetermined after investigation,N - Not Reported,Tualatin Valley Fire & Rescue,1
6/24/21 15:50,111 - Building fire,429 - Multifamily dwelling,Minor,1 - Exposed to fire products,Possibly mentally disabled,"Activity, other","Cooking area, kitchen",Unintentional,1 - Present,Portland Fire & Rescue,1
6/24/21 15:50,111 - Building fire,429 - Multifamily dwelling,Minor,1 - Exposed to fire products,Possibly mentally disabled,"Activity, other","Cooking area, kitchen",Unintentional,1 - Present,Portland Fire & Rescue,1
6/26/21 22:22,111 - Building fire,419 - 1 or 2 family dwelling,Minor,1 - Exposed to fire products,"Asleep, no known impairment",Sleeping,"Function areas, other",Unintentional,N - None present,South Lane County Fire & Rescue,1
6/26/21 22:22,111 - Building fire,419 - 1 or 2 family dwelling,Minor,1 - Exposed to fire products,None,Rescue attempt,"Function areas, other",Unintentional,N - None present,South Lane County Fire & Rescue,1
6/27/21 0:26,111 - Building fire,419 - 1 or 2 family dwelling,Fatality,1 - Exposed to fire products,Not Reported,Not Reported,Bedroom - < 5 persons; included are jail or prison,Cause under investigation,U - Undetermined,Oakridge Fire Department,1
6/30/21 23:09,111 - Building fire,419 - 1 or 2 family dwelling,Moderate,N - Not Reported,Not Reported,Not Reported,Bedroom - < 5 persons; included are jail or prison,Unintentional,N - None present,Clackamas Fire District #1,1
7/3/21 1:53,111 - Building fire,429 - Multifamily dwelling,Minor,1 - Exposed to fire products,Possibly mentally disabled,Undetermined,Bedroom - < 5 persons; included are jail or prison,Unintentional,1 - Present,Portland Fire & Rescue,1
7/4/21 3:36,111 - Building fire,429 - Multifamily dwelling,Fatality,1 - Exposed to fire products,"Asleep, no known impairment",Sleeping,Other area of fire origin,Cause under investigation,1 - Present,Portland Fire & Rescue,1
7/7/21 9:26,"122 - Fire in motor home, camper, recreational vehicle",935 - Campsite with utilities,Minor,2 - Exposed to hazardous materials or toxic fumes other than smoke,None,Undetermined,"Cooking area, kitchen",Unintentional,N - None present,Salem Fire Department,1
7/9/21 18:47,131 - Passenger vehicle fire,"960 - Street, other",Minor,1 - Exposed to fire products,Possibly mentally disabled,Undetermined,"Highway, parking lot, street: on or near",Unintentional,N - Not Reported,Portland Fire & Rescue,1
7/10/21 7:59,111 - Building fire,429 - Multifamily dwelling,Minor,1 - Exposed to fire products,Possibly impaired by other drug or chemical,Returning to vicinity of fire before control of fire,Bedroom - < 5 persons; included are jail or prison,Unintentional,U - Undetermined,Keizer Fire District,1
7/10/21 7:59,111 - Building fire,429 - Multifamily dwelling,Minor,1 - Exposed to fire products,Possibly impaired by other drug or chemical,Fire control,Bedroom - < 5 persons; included are jail or prison,Unintentional,U - Undetermined,Keizer Fire District,1
7/12/21 4:08,112 - Fires in structure other than in a building,931 - Open land or field,Minor,N - Not Reported,Not Reported,Not Reported,Undetermined,Cause undetermined after investigation,N - None present,Lane Fire Authority,1
7/16/21 0:49,111 - Building fire,"110 - Fixed-use recreation places, other",Minor,1 - Exposed to fire products,Possibly mentally disabled,Escaping,"Bathroom, checkroom, lavatory, locker room",Cause undetermined after investigation,1 - Present,Salem Fire Department,1
7/20/21 0:00,NNN - Not Reported,U - Unknown,Fatality,N - Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,N - Not Reported,McMinnville Fire District,1
7/21/21 9:23,134 - Water vehicle fire,"579 - Motor vehicle or boat sales, services, repair",Moderate,1 - Exposed to fire products,Possibly mentally disabled,Undetermined,"Engine area, running gear, wheel area",Unintentional,N - Not Reported,Portland Fire & Rescue,1
7/26/21 7:24,111 - Building fire,419 - 1 or 2 family dwelling,Minor,1 - Exposed to fire products,Possibly mentally disabled,Fire control,Bedroom - < 5 persons; included are jail or prison,Unintentional,1 - Present,Portland Fire & Rescue,1
7/27/21 0:06,1120 - Tent Fire/Undersheltered,"962 - Residential street, road or residential driveway",Minor,1 - Exposed to fire products,None,"Activity, other",Bedroom - < 5 persons; included are jail or prison,Cause undetermined after investigation,N - None present,Portland Fire & Rescue,1
7/27/21 11:37,131 - Passenger vehicle fire,"449 - Hotel/motel, commercial",Moderate,1 - Exposed to fire products,Possibly mentally disabled,Irrational act,"Highway, parking lot, street: on or near",Unintentional,N - Not Reported,Portland Fire & Rescue,1
7/27/21 19:15,111 - Building fire,429 - Multifamily dwelling,Moderate,1 - Exposed to fire products,Physically disabled,Unable to act,Bedroom - < 5 persons; included are jail or prison,Cause undetermined after investigation,1 - Present,Clackamas Fire District #1,1
7/28/21 11:30,111 - Building fire,429 - Multifamily dwelling,Minor,N - Not Reported,Not Reported,Not Reported,"Cooking area, kitchen",Unintentional,1 - Present,Tualatin Valley Fire & Rescue,1
7/28/21 14:27,142 - Brush or brush-and-grass mixture fire,931 - Open land or field,Moderate,8 - Overexertion or strain,None,Fire control,"Open area, outside; included are farmland, field",Unintentional,N - Not Reported,Silverton RFPD,1
7/28/21 18:53,111 - Building fire,429 - Multifamily dwelling,Minor,1 - Exposed to fire products,Not Reported,Returning to vicinity of fire before control of fire,"Cooking area, kitchen",Unintentional,1 - Present,Marion County Fire District No.1,1
8/3/21 2:11,111 - Building fire,419 - 1 or 2 family dwelling,Minor,1 - Exposed to fire products,None,Escaping,"Laundry area, wash house (laundry)",Cause undetermined after investigation,1 - Present,Salem Fire Department,1
8/3/21 14:20,111 - Building fire,419 - 1 or 2 family dwelling,Minor,1 - Exposed to fire products,Not Reported,Not Reported,"Hallway corridor, mall",Unintentional,1 - Present,Mohawk Valley RFD,1
8/4/21 6:20,111 - Building fire,419 - 1 or 2 family dwelling,Moderate,N - Not Reported,Not Reported,Not Reported,"Storage area, other",Unintentional,1 - Present,Pistol River RFPD,1
8/4/21 11:41,111 - Building fire,419 - 1 or 2 family dwelling,Fatality,1 - Exposed to fire products,Possibly impaired by alcohol,Sleeping,"Exterior balcony, unenclosed porch",Unintentional,1 - Present,Portland Fire & Rescue,1
8/5/21 14:02,111 - Building fire,"700 - Manufacturing, Processing",Moderate,1 - Exposed to fire products,None,Fire control,"Processing/manufacturing area, workroom",Cause undetermined after investigation,1 - Present,Grants Pass Fire & Rescue,1
8/6/21 17:37,111 - Building fire,429 - Multifamily dwelling,Minor,1 - Exposed to fire products,Possibly impaired by other drug or chemical,"Activity, other","Cooking area, kitchen",Unintentional,1 - Present,Portland Fire & Rescue,1
8/8/21 1:38,111 - Building fire,429 - Multifamily dwelling,Fatality,1 - Exposed to fire products,"Possibly impaired by other drug or chemical,Possibly mentally disabled,Physically disabled",Irrational act,Bedroom - < 5 persons; included are jail or prison,Cause undetermined after investigation,1 - Present,Tualatin Valley Fire & Rescue,1
8/8/21 3:39,137 - Camper or recreational vehicle (RV) fire,"962 - Residential street, road or residential driveway",Fatality,5 - Caught or trapped,"Asleep, no known impairment",Sleeping,"Vehicle area, other",Cause undetermined after investigation,N - Not Reported,Portland Fire & Rescue,1
8/11/21 20:46,111 - Building fire,419 - 1 or 2 family dwelling,Fatality,1 - Exposed to fire products,Possibly mentally disabled,Undetermined,"Cooking area, kitchen",Unintentional,1 - Present,Portland Fire & Rescue,1
8/11/21 21:53,111 - Building fire,419 - 1 or 2 family dwelling,Moderate,N - Not Reported,Not Reported,Not Reported,"Cooking area, kitchen",Unintentional,U - Undetermined,Tualatin Valley Fire & Rescue,1
8/12/21 7:45,111 - Building fire,419 - 1 or 2 family dwelling,Minor,1 - Exposed to fire products,None,Returning to vicinity of fire before control of fire,"Wall assembly, concealed wall space",Unintentional,1 - Present,Salem Fire Department,1
8/16/21 8:50,111 - Building fire,419 - 1 or 2 family dwelling,Life threatening,N - Not Reported,Not Reported,Not Reported,"Exterior balcony, unenclosed porch",Unintentional,U - Undetermined,Swisshome-Deadwood RFPD,1
8/17/21 23:59,111 - Building fire,419 - 1 or 2 family dwelling,Minor,N - Not Reported,Not Reported,Not Reported,"Exterior balcony, unenclosed porch",Unintentional,1 - Present,Umatilla County Fire District 1,1
8/17/21 23:59,111 - Building fire,419 - 1 or 2 family dwelling,Minor,N - Not Reported,Not Reported,Not Reported,"Exterior balcony, unenclosed porch",Unintentional,1 - Present,Umatilla County Fire District 1,1
8/19/21 3:42,1120 - Tent Fire/Undersheltered,"962 - Residential street, road or residential driveway",Minor,1 - Exposed to fire products,None,Sleeping,Bedroom - < 5 persons; included are jail or prison,Intentional,N - None present,Portland Fire & Rescue,1
8/21/21 0:47,111 - Building fire,419 - 1 or 2 family dwelling,Minor,1 - Exposed to fire products,"Asleep, no known impairment",Escaping,"Function areas, other",Unintentional,1 - Present,Portland Fire & Rescue,1
8/24/21 5:00,111 - Building fire,419 - 1 or 2 family dwelling,Minor,N - Not Reported,Not Reported,Not Reported,Bedroom - < 5 persons; included are jail or prison,Cause undetermined after investigation,N - None present,Merrill RFPD,1
8/27/21 12:58,131 - Passenger vehicle fire,"669 - Forest, timberland, woodland",Fatality,1 - Exposed to fire products,None,Unable to act,"Vehicle area, other",Cause under investigation,N - Not Reported,Canby Fire District #62,1
8/31/21 17:02,111 - Building fire,419 - 1 or 2 family dwelling,Moderate,1 - Exposed to fire products,None,Returning to vicinity of fire before control of fire,Undetermined,Cause under investigation,U - Undetermined,Milton-Freewater Fire Department,1
9/5/21 20:41,111 - Building fire,808 - Outbuilding or shed,Moderate,1 - Exposed to fire products,None,Fire control,"Vehicle storage area; garage, carport",Unintentional,N - None present,Grants Pass Fire & Rescue,1
9/8/21 20:40,142 - Brush or brush-and-grass mixture fire,936 - Vacant lot,Minor,U - Undetermined,None,Undetermined,"Wildland, woods",Cause under investigation,N - Not Reported,Columbia River Fire & Rescue,1
9/9/21 9:43,1120 - Tent Fire/Undersheltered,"900 - Outside or special property, other",Moderate,1 - Exposed to fire products,"Asleep, no known impairment",Sleeping,Bedroom - < 5 persons; included are jail or prison,Cause undetermined after investigation,N - None present,Portland Fire & Rescue,1
9/13/21 2:26,131 - Passenger vehicle fire,419 - 1 or 2 family dwelling,Fatality,U - Undetermined,Not Reported,Not Reported,Operator/passenger area of transportation equipment,Cause undetermined after investigation,N - Not Reported,City of Troutdale,1
9/13/21 12:01,111 - Building fire,419 - 1 or 2 family dwelling,Moderate,1 - Exposed to fire products,None,Fire control,"Cooking area, kitchen",Unintentional,1 - Present,Scappoose RFPD,1
9/20/21 23:07,"160 - Special outside fire, other",938 - Graded and cared-for plots of land,Life threatening,1 - Exposed to fire products,Possibly impaired by other drug or chemical,Irrational act,"Outside area, other",Intentional,N - Not Reported,Salem Fire Department,1
9/23/21 2:54,131 - Passenger vehicle fire,965 - Vehicle parking area,Minor,1 - Exposed to fire products,"Asleep, no known impairment",Sleeping,Operator/passenger area of transportation equipment,Unintentional,N - Not Reported,Salem Fire Department,1
9/24/21 1:34,132 - Road freight or transport vehicle fire,"962 - Residential street, road or residential driveway",Minor,3 - Jumped in escape attempt,None,Escaping,"Engine area, running gear, wheel area",Unintentional,N - Not Reported,Salem Fire Department,1
9/26/21 9:25,131 - Passenger vehicle fire,"962 - Residential street, road or residential driveway",Moderate,1 - Exposed to fire products,"Asleep, no known impairment",Sleeping,Cargo/trunk area-all vehicles,Unintentional,N - Not Reported,Portland Fire & Rescue,1
9/26/21 9:25,131 - Passenger vehicle fire,"962 - Residential street, road or residential driveway",Minor,1 - Exposed to fire products,"Asleep, no known impairment",Sleeping,Cargo/trunk area-all vehicles,Unintentional,N - Not Reported,Portland Fire & Rescue,1
9/26/21 18:49,111 - Building fire,419 - 1 or 2 family dwelling,Moderate,1 - Exposed to fire products,Not Reported,Returning to vicinity of fire before control of fire,"Cooking area, kitchen",Unintentional,1 - Present,Cornelius Fire Department,1
9/29/21 4:50,111 - Building fire,419 - 1 or 2 family dwelling,Severe,9 - Multiple causes,"Possibly impaired by alcohol,Possibly impaired by other drug or chemical,Possibly mentally disabled",Returning to vicinity of fire before control of fire,Undetermined,Intentional,U - Undetermined,Estacada Rural Fire District #69,1
9/30/21 16:05,111 - Building fire,429 - Multifamily dwelling,Minor,1 - Exposed to fire products,None,"Activity, other","Common room, den, family room, living room, lounge",Unintentional,1 - Present,Eugene Springfield Fire,1
10/1/21 7:21,131 - Passenger vehicle fire,"962 - Residential street, road or residential driveway",Moderate,1 - Exposed to fire products,Possibly mentally disabled,Undetermined,Operator/passenger area of transportation equipment,Unintentional,N - Not Reported,Portland Fire & Rescue,1
10/1/21 9:58,"122 - Fire in motor home, camper, recreational vehicle","900 - Outside or special property, other",Fatality,1 - Exposed to fire products,"Possibly impaired by alcohol,Possibly impaired by other drug or chemical",Not Reported,"Common room, den, family room, living room, lounge",Cause under investigation,N - None present,Jackson County Fire District #3,1
10/2/21 13:22,111 - Building fire,419 - 1 or 2 family dwelling,Moderate,1 - Exposed to fire products,None,Fire control,"Common room, den, family room, living room, lounge",Unintentional,U - Undetermined,Jackson County Fire District #3,1
10/7/21 10:57,136 - Self-propelled motor home or recreational vehicle,961 - Highway or divided highway,Minor,N - Not Reported,Not Reported,Not Reported,"Engine area, running gear, wheel area",Unintentional,N - Not Reported,Tualatin Valley Fire & Rescue,1
10/7/21 10:57,136 - Self-propelled motor home or recreational vehicle,961 - Highway or divided highway,Minor,N - Not Reported,Not Reported,Not Reported,"Engine area, running gear, wheel area",Unintentional,N - Not Reported,Tualatin Valley Fire & Rescue,1
10/8/21 19:55,111 - Building fire,429 - Multifamily dwelling,Moderate,1 - Exposed to fire products,Possibly mentally disabled,Escaping,"Vehicle storage area; garage, carport",Unintentional,N - None present,Portland Fire & Rescue,1
10/11/21 1:41,111 - Building fire,419 - 1 or 2 family dwelling,Fatality,U - Undetermined,Not Reported,Not Reported,"Common room, den, family room, living room, lounge",Unintentional,1 - Present,Clackamas Fire District #1,1
10/11/21 13:33,"900 - Special type of incident, other","000 - Property Use, other",Moderate,5 - Caught or trapped,Not Reported,Not Reported,Not Reported,Not Reported,N - Not Reported,Jackson County Fire District #3,1
10/13/21 16:06,"122 - Fire in motor home, camper, recreational vehicle","900 - Outside or special property, other",Moderate,1 - Exposed to fire products,Not Reported,Not Reported,"Cooking area, kitchen",Cause undetermined after investigation,U - Undetermined,Sutherlin Fire Department,1
10/14/21 21:13,111 - Building fire,419 - 1 or 2 family dwelling,Minor,1 - Exposed to fire products,Possibly mentally disabled,Fire control,Undetermined,Cause undetermined after investigation,U - Undetermined,Lebanon Fire District,1
10/21/21 22:29,111 - Building fire,419 - 1 or 2 family dwelling,Life threatening,N - Not Reported,Not Reported,Not Reported,"Engine area, running gear, wheel area",Unintentional,1 - Present,Lake Oswego Fire Department,1
10/26/21 14:12,111 - Building fire,419 - 1 or 2 family dwelling,Fatality,N - Not Reported,Not Reported,Not Reported,"Entranceway, lobby",Failure of equipment or heat source,U - Undetermined,Lakeside RFPD,1
10/29/21 20:39,"151 - Outside rubbish, trash or waste fire",936 - Vacant lot,Moderate,1 - Exposed to fire products,Not Reported,"Activity, other","Open area, outside; included are farmland, field",Cause under investigation,N - Not Reported,Tillamook Fire District,1
10/30/21 15:39,111 - Building fire,"519 - Food and beverage sales, grocery store",Minor,1 - Exposed to fire products,None,Fire control,Undetermined,Unintentional,1 - Present,Grants Pass Fire & Rescue,1
11/1/21 9:04,111 - Building fire,429 - Multifamily dwelling,Moderate,1 - Exposed to fire products,"Asleep, no known impairment",Sleeping,"Cooking area, kitchen",Unintentional,1 - Present,Portland Fire & Rescue,1
11/2/21 23:16,111 - Building fire,419 - 1 or 2 family dwelling,Fatality,1 - Exposed to fire products,Not Reported,Not Reported,Other area of fire origin,Cause under investigation,U - Undetermined,Medford RFPD,1
11/5/21 18:48,111 - Building fire,419 - 1 or 2 family dwelling,Minor,1 - Exposed to fire products,"Possibly mentally disabled,Possibly impaired by other drug or chemical",Irrational act,"Hallway corridor, mall",Intentional,1 - Present,Sandy Fire District #72,1
11/8/21 1:44,121 - Fire in mobile home used as fixed residence,"962 - Residential street, road or residential driveway",Minor,1 - Exposed to fire products,None,Fire control,"Exterior, exposed surface",Unintentional,N - None present,Deschutes County RFPD #2,1
11/10/21 17:56,111 - Building fire,419 - 1 or 2 family dwelling,Minor,N - Not Reported,Not Reported,Not Reported,Bedroom - < 5 persons; included are jail or prison,Cause undetermined after investigation,1 - Present,Eugene Springfield Fire,1
11/13/21 15:15,"113 - Cooking fire, confined to container",419 - 1 or 2 family dwelling,Minor,1 - Exposed to fire products,Possibly mentally disabled,Fire control,"Cooking area, kitchen",Unintentional,1 - Present,Portland Fire & Rescue,1
11/16/21 3:38,111 - Building fire,419 - 1 or 2 family dwelling,Minor,1 - Exposed to fire products,None,Escaping,"Common room, den, family room, living room, lounge",Unintentional,U - Undetermined,Lane Fire Authority,1
11/16/21 3:38,111 - Building fire,419 - 1 or 2 family dwelling,Minor,N - Not Reported,Not Reported,Not Reported,"Common room, den, family room, living room, lounge",Unintentional,U - Undetermined,Lane Fire Authority,1
11/19/21 7:54,111 - Building fire,419 - 1 or 2 family dwelling,Fatality,1 - Exposed to fire products,Not Reported,Undetermined,Bedroom - < 5 persons; included are jail or prison,Unintentional,N - None present,Salem Fire Department,1
11/19/21 7:54,111 - Building fire,419 - 1 or 2 family dwelling,Fatality,1 - Exposed to fire products,Not Reported,Undetermined,Bedroom - < 5 persons; included are jail or prison,Unintentional,N - None present,Salem Fire Department,1
11/20/21 12:27,111 - Building fire,429 - Multifamily dwelling,Minor,7 - Struck by or contact with object,Not Reported,Returning to vicinity of fire before control of fire,Bedroom - < 5 persons; included are jail or prison,Cause undetermined after investigation,1 - Present,Columbia River Fire & Rescue,1
11/25/21 22:07,111 - Building fire,429 - Multifamily dwelling,Minor,1 - Exposed to fire products,"Possibly impaired by alcohol,Possibly mentally disabled",Not Reported,Bedroom - < 5 persons; included are jail or prison,Intentional,1 - Present,Medford Fire Department,1
11/27/21 22:01,111 - Building fire,419 - 1 or 2 family dwelling,Fatality,N - Not Reported,Not Reported,Not Reported,"Common room, den, family room, living room, lounge",Unintentional,U - Undetermined,Crook County Fire & Rescue,1
12/5/21 7:37,112 - Fires in structure other than in a building,"926 - Outbuilding, protective shelter",Minor,N - Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,N - Not Reported,Hillsboro Fire & Rescue,1
12/5/21 16:55,135 - Aircraft fire,"579 - Motor vehicle or boat sales, services, repair",Fatality,"0 - Cause of injury, other",Not Reported,"Activity, other",Not Reported,Not Reported,N - Not Reported,Medford Fire Department,1
12/6/21 2:21,"151 - Outside rubbish, trash or waste fire","960 - Street, other",Moderate,1 - Exposed to fire products,"Asleep, no known impairment,Possibly impaired by other drug or chemical",Fire control,"Highway, parking lot, street: on or near",Unintentional,N - Not Reported,Portland Fire & Rescue,1
12/6/21 5:30,111 - Building fire,429 - Multifamily dwelling,Minor,N - Not Reported,Not Reported,Not Reported,"Common room, den, family room, living room, lounge",Cause undetermined after investigation,N - None present,Tualatin Valley Fire & Rescue,1
12/6/21 5:30,111 - Building fire,429 - Multifamily dwelling,Minor,N - Not Reported,Not Reported,Not Reported,"Common room, den, family room, living room, lounge",Cause undetermined after investigation,N - None present,Tualatin Valley Fire & Rescue,1
12/6/21 18:48,131 - Passenger vehicle fire,"962 - Residential street, road or residential driveway",Moderate,1 - Exposed to fire products,Not Reported,Rescue attempt,Operator/passenger area of transportation equipment,Unintentional,N - Not Reported,Ontario Fire Department,1
12/7/21 12:28,111 - Building fire,419 - 1 or 2 family dwelling,Minor,N - Not Reported,Not Reported,Not Reported,"Cooking area, kitchen",Cause undetermined after investigation,1 - Present,Eugene Springfield Fire,1
12/8/21 1:24,111 - Building fire,429 - Multifamily dwelling,Moderate,N - Not Reported,Not Reported,Not Reported,"Bathroom, checkroom, lavatory, locker room",Failure of equipment or heat source,1 - Present,Tualatin Valley Fire & Rescue,1
12/10/21 16:00,111 - Building fire,429 - Multifamily dwelling,Minor,1 - Exposed to fire products,None,Fire control,Bedroom - < 5 persons; included are jail or prison,Unintentional,1 - Present,Salem Fire Department,1
12/13/21 8:59,1120 - Tent Fire/Undersheltered,"400 - Residential, other",Minor,1 - Exposed to fire products,Possibly mentally disabled,"Activity, other","Function areas, other",Unintentional,N - None present,Portland Fire & Rescue,1
12/13/21 13:43,111 - Building fire,429 - Multifamily dwelling,Minor,N - Not Reported,Not Reported,Not Reported,"Cooking area, kitchen",Cause under investigation,1 - Present,North Lincoln Fire & Rescue District #1,1
12/13/21 13:43,111 - Building fire,429 - Multifamily dwelling,Minor,N - Not Reported,Not Reported,Not Reported,"Cooking area, kitchen",Cause under investigation,1 - Present,North Lincoln Fire & Rescue District #1,1
12/13/21 13:43,111 - Building fire,429 - Multifamily dwelling,Minor,N - Not Reported,Not Reported,Not Reported,"Cooking area, kitchen",Cause under investigation,1 - Present,North Lincoln Fire & Rescue District #1,1
12/13/21 13:43,111 - Building fire,429 - Multifamily dwelling,Minor,N - Not Reported,Not Reported,Not Reported,"Cooking area, kitchen",Cause under investigation,1 - Present,North Lincoln Fire & Rescue District #1,1
12/13/21 13:43,111 - Building fire,429 - Multifamily dwelling,Minor,N - Not Reported,Not Reported,Not Reported,"Cooking area, kitchen",Cause under investigation,1 - Present,North Lincoln Fire & Rescue District #1,1
12/13/21 13:43,111 - Building fire,429 - Multifamily dwelling,Minor,N - Not Reported,Not Reported,Not Reported,"Cooking area, kitchen",Cause under investigation,1 - Present,North Lincoln Fire & Rescue District #1,1
12/13/21 13:43,111 - Building fire,429 - Multifamily dwelling,Minor,N - Not Reported,Not Reported,Not Reported,"Cooking area, kitchen",Cause under investigation,1 - Present,North Lincoln Fire & Rescue District #1,1
